patient,time,label,epoch,EEG-Fz,EEG-0,EEG-1,EEG-2,EEG-3,EEG-4,EEG-5,EEG-C3,EEG-6,EEG-Cz,EEG-7,EEG-C4,EEG-8,EEG-9,EEG-10,EEG-11,EEG-12,EEG-13,EEG-14,EEG-Pz,EEG-15,EEG-16
4,-0.1,right,4,-2.3944561298076916,3.2320462740384612,2.0432692307692313,1.3878455528846154,0.5859375000000002,-0.6479116586538456,6.330754206730771,2.240459735576923,2.884615384615385,1.609450120192308,0.08263221153846172,0.7399338942307697,0.5990835336538459,-1.0310246394230762,-0.2817007211538458,-0.26855468750000006,-0.7943960336538456,-1.3296274038461535,-3.7560096153846145,-2.7437650240384612,-2.2442157451923075,-6.2443659855769225
4,-0.096,right,4,-4.265461101398603,-0.34794307255244894,0.36757675917831967,0.6887155812937054,-0.796786221590911,-0.7122760052447563,-0.08126638986014112,0.5159391389860123,1.2089229130244736,2.472820148601397,0.6530334899475514,2.6775226726398587,3.610891062062935,-0.997732736013987,-0.9808306927447562,1.9620028409090897,1.3873333697552428,1.4380394995629355,-2.8926395869755264,-1.7339106206293728,-0.8437363417832189,-3.3302147071678334
4,-0.092,right,4,-2.4033339707167825,2.8813715581293717,2.473844514860141,1.1836552119755253,0.6747159090909101,0.9545386254370639,-1.0023423841783201,1.9874412696678325,1.166753168706295,1.454087904283218,0.02492624562937151,1.4146498033216797,-0.04455993225524373,-2.504746230332166,-0.8276879370629361,0.5038174715909102,0.515085500437064,0.5657916302447564,-2.202387456293705,-0.6530334899475512,-1.2277029611013976,-4.934884451486012
4,-0.088,right,4,-1.662034254807692,-1.9437349759615383,2.2874098557692304,-1.2977013221153844,1.904296875,-1.8686147836538458,-2.26299579326923,-1.714618389423077,2.8357872596153846,1.365309495192308,2.2798978365384617,0.007512019230769691,1.575646033653846,-2.4958683894230766,0.8901742788461541,1.0009765625,1.988807091346154,0.5746694711538463,-1.9493689903846154,0.3324068509615385,0.39250300480769224,-2.240459735576923
4,-0.084,right,4,-3.5330392263986012,2.142291302447552,2.076561134178322,-1.9968312937062933,-0.06436434659090863,-2.6654010052447545,1.3347492351398604,0.8577360139860136,2.966735413024476,1.4962576486013988,0.8971741149475524,-0.984586702360139,-0.1000464379370627,-0.9977327360139855,1.6070599322552448,1.131924715909091,0.9967083697552449,-0.5150855004370627,-1.5254520869755244,-0.31789499562937035,-0.5019394667832167,-2.3048240821678316
4,-0.08,right,4,-2.5231848229895113,-5.392776169143357,-1.112803212412587,-1.6217425152972034,2.0197088068181817,1.0788283981643356,-3.124146361451048,-3.015222082604896,0.5586210664335669,0.11353392701048877,2.785934768356643,1.5877677010489522,3.4976985904720275,-3.1617064576048954,0.5661330856643357,0.5792791193181823,3.031953398164336,3.033831402972028,-0.7109101835664332,0.5943031577797193,2.0704149366258733,-0.8555165537587419
4,-0.076,right,4,-1.2492146525349648,-1.5797434986888108,-2.6220361669580416,0.8241026551573432,0.9011008522727275,4.598892318618881,-5.512285565996502,-1.9365644121503491,-2.3177993881118875,1.241019722465035,0.055998688811188926,4.570722246503498,2.7697156359265738,-2.6689862871503487,-3.0915373688811183,1.1208274147727275,1.6692048186188815,3.087098448426574,-2.122486888111888,-0.08485167176573404,2.1236819820804196,0.22314111669580464
4,-0.072,right,4,-0.8896620957167862,-3.2221440668706323,-3.1902179851398618,0.7442020869755221,2.188387784090907,3.2494605004370607,-5.2015611341783226,-4.213730605332171,-3.7648874562937076,-1.3291152207167847,-0.023901879370632432,2.8794935533216757,5.375361942744752,-4.21373060533217,-2.2437035620629397,-0.4727450284090936,2.5170386254370603,4.325557255244753,-0.2004343312937084,0.7629821350524445,3.801593913898599,3.121756173513984
4,-0.068,right,4,0.40428321678321694,-3.14890187937063,-3.40994454763986,1.5010380244755235,0.40616122159090823,5.0805151879370625,-3.3705064466783208,-4.531113417832168,-5.205317143793707,-0.32813865821678323,-0.7319096918706307,2.9527357408216774,0.9075885052447552,-4.1404884178321675,-4.318898874562937,-0.25301846590909244,1.7113745629370622,3.861690067744755,-0.0783640187937066,1.7639586975524462,4.9978829763986,5.929373361013986
4,-0.064,right,4,0.8037860576923076,0.7662259615384618,-1.3991135817307692,0.6310096153846155,-0.8544921874999999,2.306189903846154,2.64423076923077,-3.057391826923077,-2.8526893028846145,-1.198167067307692,-1.7484224759615385,0.5202073317307697,1.9418569711538456,-1.7390324519230764,-3.333458533653846,-0.48828125,-0.6723257211538459,0.6967397836538466,-0.7042518028846152,0.9427584134615387,2.8583233173076925,3.936298076923076
